State,Year_Sales_Began,Year_Fully_Legalized,Year_Medically_Legalized,Year_Decriminalized,Legal Status,Medicinal,Decriminalized
Alabama,,,2014,,Fully Illegal,Partial,No
Alaska,,2014,1996,,Fully Legal,Yes,Yes
Arizona,,2020,2010,,Fully Legal*,Yes,Yes
Arkansas,,,2016,,Mixed,Yes,No
California,,2016,1996,1975,Fully Legal,Yes,Yes
Colorado,,2012,2000,1975,Fully Legal,Yes,Yes
Connecticut,,,2012,2011,Mixed,Yes,Yes
Delaware,,,2011,2015,Mixed,Yes,Yes
District of Columbia,,,,,Fully Legal,Yes,Yes
Florida,,,2016,,Mixed,Yes,No
Georgia,,,2015,,Mixed,CBD Oil Only,No
Hawaii,,,2000,2019,Mixed,Yes,Yes
Idaho,,,,,Fully Illegal,No,No
Illinois,2019,2019,2013,2016,Fully Legal,Yes,Yes
Indiana,,,2017,,Mixed,CBD Oil Only,No
Iowa,,,2014,,Mixed,CBD Oil Only,No
Kansas,,,,,Fully Illegal,No,No
Kentucky,,,2014,,Mixed,CBD Oil Only,No
Louisiana,,,2015,,Mixed,Yes,No
Maine,,2016,1999,1975,Fully Legal,Yes,Yes
Maryland,,,2014,2014,Mixed,Yes,Yes
Massachusetts,,2016,2012,2008,Fully Legal,Yes,Yes
Michigan,,2018,2008,,Fully Legal,Yes,Yes
Minnesota,,,2014,1976,Mixed,Yes,Yes
Mississippi,,,2020,1977,Mixed,Yes,Yes
Missouri,,,2018,2014,Mixed,Yes,Yes
Montana,,2020,2004,,Fully Legal*,Yes,Yes
Nebraska,,,,1978,Fully Illegal,No,Yes
Nevada,,2016,2000,2001,Fully Legal,Yes,Yes
New Hampshire,,,2013,2017,Mixed,Yes,Yes
New Jersey,,2020,2010,,Fully Legal*,Yes,Yes
New Mexico,,,2007,2019,Mixed,Yes,Yes
New York,,,2014,1977,Mixed,Yes,Yes
North Carolina,,,2014,1977,Fully Illegal,Partial,Yes
North Dakota,,,2016,2019,Mixed,Yes,Yes
Ohio,,,2016,1975,Mixed,Yes,Yes
Oklahoma,,,2018,,Mixed,Yes,No
Oregon,,2014,1998,1973,Fully Legal,Yes,Yes
Pennsylvania,,,2016,,Mixed,Yes,No
Rhode Island,,,2006,2012,Mixed,Yes,Yes
South Carolina,,,2014,,Fully Illegal,No,No
South Dakota,,2020,2020,,Fully Legal*,Yes,Yes
Tennessee,,,2014,,Fully Illegal,No,No
Texas,,,2015,,Mixed,CBD Oil Only,No
Utah,,,2018,,Mixed,Yes,No
Vermont,2020,2018,2004,2013,Fully Legal,Yes,Yes
Virginia,,,2015,2020,Mixed,CBD Oil Only,Yes
Washington,,2012,1998,,Fully Legal,Yes,Yes
West Virginia,,,2017,,Mixed,Yes,No
Wisconsin,,,2014,,Mixed,CBD Oil Only,No
Wyoming,,,2015,,Fully Illegal,No,No
